TLANAME,CRASHDATE,CRASHDOW,CRASHTIME,MVMT,VEHICLES,CAUSES,OBJECTSSTRUCK,ROADCURVE,ROADWET,LIGHT,WTHRa,JUNCTYPE,TRAFCTRL,ROADMARK,SPDLIM,CRASHFATALCNT,CRASHSEVCNT,CRASHMINCNT,EASTING,NORTHING
Auckland,21/06/2014,Sat,755,HA,CE2C,302A ,,R,D,B ,F ,R,G,R,50,0,0,0,1758212,5913424
Auckland,19/07/2014,Sat,2130,CA,CN1,130A ,S,R,W,DO,L ,R,G,P,50,0,0,0,1758215,5913412
Auckland,21/11/2014,Fri,1300,JA,CS1T,302B 377B 839 ,,R,D,BF,F ,T,G,P,50,0,0,0,1758270,5916880
Auckland,17/04/2014,Thu,525,HA,CE2C,302A 375A ,,R,W,DO,L ,R,G,R,50,0,0,0,1769484,5880134
Auckland,11/11/2014,Tue,930,KB,CS1C,308B 375B 923 ,,R,D,OF,F ,D,N,C,50,0,0,0,1757998,5914704
Auckland,15/08/2014,Fri,1750,LB,PN1C,303B ,,M,D,DO,F ,T,G,C,50,0,0,1,1758059,5915122
Auckland,13/08/2014,Wed,2051,BA,XN1C,125A 410A ,,R,W,DO,L ,T,G,C,50,0,0,0,1758059,5915122
Auckland,11/04/2014,Fri,1615,EA,CN1C,386A ,M,R,D,B ,F , ,N,C,80,0,0,0,1758308,5917072
Auckland,08/02/2014,Sat,1249,FD,CS1C,331A 358A ,,R,D,BF,F ,Y,T,C,50,0,0,0,1757972,5914791
Auckland,12/09/2014,Fri,1825,DB,CS1C,111A 131A 801 ,,M,W,DO,L ,T,T,R,50,0,0,0,1757971,5914786
Auckland,21/12/2014,Sun,1330,JA,CS1C,308B 926 ,,R,D,B ,F ,D,N,P,50,0,0,0,1758136,5915643
Auckland,24/07/2014,Thu,1215,FD,VS1C4,181A 181B 801 ,,R,W,O ,L , , ,P,50,0,0,0,1758141,5915672
Auckland,09/05/2014,Fri,1042,MC,CS1C,372B ,,R,D,B ,F ,T,G,C,50,0,0,0,1758128,5915593
Auckland,25/07/2014,Fri,1340,AO,CS1C,151A 173A 330A ,,R,D,B ,F ,T,T,P,50,0,0,0,1758128,5915593
Auckland,17/06/2014,Tue,810,FA,CN1C,181A ,,R,D,O ,F , , ,C,50,0,0,0,1758229,5916346
Auckland,14/05/2014,Wed,1520,FD,CN1C,181A ,,R,W,O ,F , ,N,C,80,0,0,0,1758226,5916306
Auckland,15/07/2014,Tue,2104,JC,CS1C,322A 330A ,,R,D,DO,F ,X,T,C,50,0,0,1,1758419,5912918
Auckland,26/05/2014,Mon,615,DA,CW2,111A 131A 423A ,HK,M,W,DO,L ,X,T,P,50,0,0,0,1758419,5912918
Auckland,17/03/2014,Mon,1210,JA,MN1C,308B 375B 925 ,,R,D,B ,F ,D,S,P,50,0,0,1,1758193,5913589
Auckland,12/12/2014,Fri,1735,JA,CS1C,301B 330B ,,R,D,O ,F ,T,S,P,50,0,0,1,1758195,5913579
Auckland,16/10/2014,Thu,1515,JC,CN1C,301A 375A 402A ,,R,D,B ,F ,T,S,C,50,0,0,0,1758195,5913579
Auckland,23/08/2014,Sat,245,EO,CN1,512A 517A ,X,R,D,DO,F ,T,S,R,50,0,0,0,1758195,5913579
Auckland,07/10/2014,Tue,1648,LB,CS1C,303B ,,R,D,B ,F ,T,G,C,50,0,0,0,1758247,5916600
Auckland,29/10/2014,Wed,1525,LB,CS1C,314B 377B ,,R,D,OF,F ,T,G,P,50,0,0,0,1758247,5916600
Auckland,02/10/2014,Thu,1215,LB,CW1C,322A 402A ,,R,D,O ,F ,X,T,R,60,0,0,0,1767299,5904135
Auckland,05/09/2014,Fri,1700,JC,CN2C,302A 375A ,,R,D,OF,F ,X,G,C,50,0,0,0,1767647,5904272
Auckland,22/06/2014,Sun,1322,GB,CE1C,172B 358B ,,R,D,BF,F ,X,T,C,60,0,0,0,1767774,5904295
Auckland,06/04/2014,Sun,2224,FB,CE1C,181A ,,R,D,DO,F ,M,G,R,50,0,0,0,1767774,5904295
Auckland,16/05/2014,Fri,1716,MO,CS1C,371B 386B ,,R,D,B ,F ,X,T,C,60,0,0,0,1766801,5904019
Auckland,24/11/2014,Mon,945,FE,VW1C,181A 331A 801 ,,R,W,O ,L ,X,T,C,50,0,0,0,1766792,5904015
Auckland,23/03/2014,Sun,1300,FF,CW1C,191B 357B 510B ,,R,D,BF,F ,X,T,R,50,0,0,0,1767644,5904284
Auckland,18/08/2014,Mon,1559,LB,VE1C,322A 350A ,,R,D,BF,F ,T,T,R,50,0,0,0,1767644,5904284
Auckland,21/01/2014,Tue,1305,JA,CS2C,322A 322B 801 ,,E,W,O ,L ,X,T,R,60,0,0,1,1767294,5904146
Auckland,14/07/2014,Mon,1605,FF,CE1C,428B ,,R,D,OF,F ,X,T,R,50,0,0,0,1767294,5904146
Auckland,06/06/2014,Fri,706,GF,TW1C,381A 671A ,,R,W,BF,F ,T,T,C,60,0,0,0,1767120,5904071
Auckland,04/09/2014,Thu,625,DB,CE1,111A 131A ,G,M,W,B ,F , , ,R,100,0,0,0,1769486,5902016
Auckland,19/10/2014,Sun,120,DB,CN1,111A 131A ,G,S,W,DO,L , ,N,R,100,0,0,0,1769493,5901963
Auckland,14/02/2014,Fri,130,FF,CE1C,181A 434A ,,R,D,DO,F , ,N,C,50,0,0,0,1770519,5899017
Auckland,08/10/2014,Wed,1750,MD,CE1C,308A 371A 929 ,,R,D,O ,F ,D, ,C,50,0,0,0,1770593,5899040
Auckland,10/01/2014,Fri,18,AC,CW1C,112A 381A ,SF,R,D,DO,F , ,N,L,50,0,0,0,1770579,5899036
Auckland,12/05/2014,Mon,705,JA,CE1C,302B ,,R,D,O ,F ,T,G,C,50,0,0,0,1770608,5899045
Auckland,09/06/2014,Mon,1800,CB,CW1,112A 130A 901 ,IP,R,W,DO,H , ,N,R,50,0,0,0,1770746,5899089
Auckland,10/04/2014,Thu,1030,EE,CE1C,374B ,M,R,D,BF,F ,T,T,C,50,0,0,0,1770708,5899077
Auckland,12/11/2014,Wed,1715,GD,CE14,130A 331A 412A 925 ,,R,D,O ,F ,D,N,C,50,0,0,0,1770699,5899074
Auckland,16/12/2014,Tue,1306,NA,VW1E,191A 711B ,,R,D,O ,F ,T,G,C,50,0,0,1,1770718,5899080
Auckland,06/05/2014,Tue,1835,GA,CE1C,103A 181A 929 ,,R,D,DO,F ,D,N,C,50,0,0,0,1771156,5899218
Auckland,07/01/2014,Tue,2043,HA,CS2V,321A 375A ,,R,W,DO,L ,X,S,C,50,0,0,0,1771061,5899188
Auckland,01/08/2014,Fri,750,LB,CW1C,303B ,,R,W,O ,M ,X,S,C,50,0,0,0,1771061,5899188
Auckland,03/06/2014,Tue,902,HA,CE1C,321B 375B ,,R,D,OF,F ,X,S,R,50,0,0,0,1771061,5899188
Auckland,05/08/2014,Tue,804,LB,TN1C,303B 387B ,,R,W,OF,L ,X,S,C,50,0,0,0,1771061,5899188
Auckland,04/02/2014,Tue,1420,HA,CE1C,301B 353B ,,E,D,O ,F ,X,S,R,50,0,0,2,1771061,5899188
Auckland,01/09/2014,Mon,530,HA,CS2C,321A 375A ,,R,W,DO,L ,X,S,C,50,0,0,0,1771061,5899188
Auckland,28/11/2014,Fri,115,CB,CS1C,103A 130A ,M,R,D,DN,F , ,N,C,50,0,0,0,1765754,5900014
Auckland,12/05/2014,Mon,1600,DA,CN1,104A 357A 504A ,C,E,D,O ,F , ,N,C,100,0,1,0,1783926,5914076
Auckland,29/10/2014,Wed,2000,DA,4S1,104A 111A 131A ,P,M,W,DN,L , , ,L,100,0,0,1,1783792,5914487
Auckland,11/01/2014,Sat,1100,BF,VS1C,121A 129A 404A ,,S,D,B ,F , , ,L,100,0,0,2,1783792,5914487
Auckland,22/11/2014,Sat,2340,DB,CS1,111A 131A ,P,M,D,DO,M , ,N,L,50,0,0,0,1780677,5916503
Auckland,14/12/2014,Sun,200,DA,40,101A 111A 131A ,S,M,W,DO,L ,T,N,C,50,0,0,1,1780732,5916586
Auckland,29/11/2014,Sat,600,DC,CW1,103A 111A 130A 632A 801 ,ET,M,W,B ,L ,T,G,C,50,0,0,2,1780732,5916586
Auckland,16/09/2014,Tue,1145,JA,PE1C,302B 375B ,,R,W,B ,F ,T,G,C,50,0,0,1,1781604,5916563
Auckland,14/09/2014,Sun,26,DB,CN1C,103A 131A 410A 801 904 ,FM,M,W,DO,M , , ,C,50,0,0,0,1752959,5947127
Auckland,18/09/2014,Thu,1555,EA,CE1C,129A ,Q,R,D,O ,F , , ,C,50,0,0,0,1770494,5915239
Auckland,10/12/2014,Wed,1013,MO,VE1C,371A 929 ,M,R,D,OF,F ,D,N,C,50,0,0,0,1750191,5913212
Auckland,19/06/2014,Thu,2124,KB,CE1C,308B 929 ,,R,W,DO,L ,D,N,C,50,0,0,0,1749616,5913444
Auckland,02/04/2014,Wed,1517,MO,CN1C,386A ,M,R,D,B ,F , , ,C,50,0,0,0,1755585,5920604
Auckland,19/09/2014,Fri,1600,FA,CN1C,181A 386A ,,R,D,B ,F ,T,S,C,50,0,0,0,1758484,5917379
Auckland,02/05/2014,Fri,1600,HA,CN1S,302A 375A ,,E,D,O ,F ,R,G,C,50,0,0,1,1757789,5924049
Auckland,12/10/2014,Sun,37,DB,CS1C,131A 514A 631A ,,R,D,DO,F ,R,G,R,50,0,0,0,1757786,5924048
Auckland,04/12/2014,Thu,1812,CC,CW1,414A ,HX,R,D,BF,F , ,N,C,50,0,0,0,1755014,5924065
Auckland,08/04/2014,Tue,,MO,CS1C,103A 371A 929 ,,R,D,BN,F ,D,N,L,50,0,0,0,1763448,5909593
Auckland,24/09/2014,Wed,1502,HA,CE2X,301A ,,R,D,B ,F ,X,S,C,50,0,0,0,1757042,5920903
Auckland,06/06/2014,Fri,1350,FD,CE1C,181A ,,R,D,BF,F , ,N,C,50,0,0,0,1758351,5916105
Auckland,19/09/2014,Fri,1512,MO,CN1C,386A ,M,R,D,B ,F , , ,C,50,0,0,0,1758398,5916142
